database,schema,table,stored_procedures
ods1_stage,show,provider,['etl_spuDeleteOrphanedProviders']
ods1stage,mid,provider_health_insurance,['Mid_spuProviderHealthInsuranceRefresh']
ods1stage,base,facility_to_facility_type,['hack_spuCleanUpDuplicateIncorrectFacilityToFacilityType']
ods1stage,mid,provider_specialty,['Mid_spuProviderSpecialtyRefresh']
ods1stage,show,solr_provider_delta,"['etl_spuMidProviderEntityRefresh', 'Show_spuSOLRProviderDeltaRefresh']"
ods1stage,base,city_state_postal_code,['etl_spuMidProviderEntityRefresh']
ods1stage,mid,provider_practice_office,"['etl_spuMidProviderEntityRefresh', 'Mid_spuProviderPracticeOfficeRefresh']"
ods1stage,show,solr_provider_address,"['etl_spuMidProviderEntityRefresh', 'Show_spuSOLRProviderDeltaRefresh', 'hack_spuRemoveSuspecProviders', 'Show_spuSOLRProviderAddressGenerateFromMid']"
ods1stage,xfr,solr_provider_delta,['etl_spuMidProviderEntityRefresh']
ods1stage,base,is_searchable_suppress_general_suppression_rule,['Base_spuCalculateIsSearchableGeneralSuppression']
ods1stage,base,provider_to_specialty,['Base_spuCalculateIsSearchableGeneralSuppression']
ods1stage,mid,office_specialty,['Mid_spuOfficeSpecialtyRefresh']
ods1stage,mid,partner_entity,"['Mid_spuPartnerEntityRefresh', 'Base_spuProviderSponsorshipAndOASCleanup']"
ods1stage,base,partner_to_entity,"['Mid_spuPartnerEntityRefresh', 'Base_spuProviderSponsorshipAndOASCleanup']"
ods1stage,mid,provider_recognition,['Mid_spuProviderRecognitionRefresh']
ods1stage,show,solr_provider_redirect,"['Show_spuSOLRProviderDeltaRefresh', 'Show_spuSOLRProviderRedirect']"
ods1stage,show,solr_provider__freeze,['hack_spuMAPFreeze']
ods1_stage,show,solr_provider,['hack_spuTheGreatMidShowODS1StageEDPHackSet']
ods1stage,mid,provider_sanction,['Mid_spuProviderSanctionRefresh']
ods1stage,mid,practice_sponsorship,['Mid_spuPracticeSponsorshipRefresh']
ods1stage,base,provider,['hack_spuCarePhilosophyFix']
ods1stage,show,vwu_practicing_specialty_to_group_specialty_primary,['Show_vwuPracticingSpecialtyToGroupSpecialtyPrimary']
ods1stage,mid,geographic_area,"['Mid_spuGeographicAreaRefresh', 'etl_spuMidNonProviderEntityRefresh']"
ods1stage,mid,provider_specialty_facility_service_line_rating,['Mid_spuProviderSpecialtyFacilityServiceLineRatingRefresh']
ods1stage,mid,practice,['Mid_spuPracticeRefresh']
ods1stage,base,provider_specialty_z_score,['Base_spuProviderSpecialtyZScore']
ods1stage,mid,provider_metric_summary,['Mid_spuProviderMetricSummaryRefreshHack']
ods1stage,show,solr_geographic_area,['Show_spuSOLRGeographicAreaGenerateFromMid']
ods1stage,show,solr_geographic_area_delta,"['Show_spuSOLRGeographicAreaGenerateFromMid', 'Show_spuSOLRGeographicAreaDeltaRefresh']"
ods1stage,base,url,['hack_URLTableMatchToFacilityURL']
ods1stage,base,client_product_to_call_center,['Base_spuDefaultPDCCallCenterRelationship']
transit,xfr,client_entity_opt,['Base_spuProviderSponsorshipAndOASCleanup']
ods1stage,e_mail_alerts,provider_sanctions_mal_practice,['Base_spuProviderSponsorshipAndOASCleanup']
ods1stage,mid,provider_facility,['Mid_spuProviderFacilityRefresh']
ods1stage,checks,product_provider_counts,['etl_spuCheckFinalResults']
ods1stage,checks,client_to_product_provider,['etl_spuCheckFinalResults']
ods1stage,checks,product_provider_counts_oas,['etl_spuCheckFinalResults']
ods1stage,checks,product_provider_counts_survey,['etl_spuCheckFinalResults']
ods1stage,checks,practice_counts,['etl_spuCheckFinalResults']
ods1stage,show,vwu_provider_index,['etl_spuCheckFinalResults']
ods1stage,show,solr_line_of_service,['Show_spuSOLRLineOfServiceGenerateFromMid']
ods1stage,xfr,solrp_ractice_delta,['etl_spuMidNonProviderEntityRefresh']
ods1stage,base,call_center,['Base_spuCallCenterIntCodeHack']
ods1stage,mid,provider_language,['Mid_spuProviderLanguageRefresh']
ods1stage,mid,provider_procedure,['Mid_spuProviderProcedureRefresh']
ods1stage,base,vwu_provider_specialty,['Base_vwuProviderSpecialty']
ods1stage,mid,provider_license,['Mid_spuProviderLicenseRefresh']
ods1stage,mid,provider_education,['Mid_spuProviderEducationRefresh']
ods1stage,base,providers_with_sponsorship_issues,['Mid_spuRecordPostRulesEngineDataIssues']
ods1stage,base,provider_to_audit_id,['etl_spuPopulateProviderToAuditIDFromProfisee']
ods1stage,mid,provider_affiliation,['Mid_spuProviderAffiliationRefresh']
ods1stage,mid,client_market,['hack_spuRemoveBadURLS']
